cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
65	11.40000000	0.00000000	mua	0.32443547	877	1190.00000000	0.37215166	good	348	0
66	13.40000000	0.00000000	mua	0.47181082	642	1190.00000000	0.37215166	good	348	0
67	3.50000000	20.00000000	mua	0.23359685	908	1487.50000000	0.29836297	good	279	0
68	7.70000000	0.00000000	good	0.47545192	917	1400.00000000	0.57106030	good	534	0
69	7.60000000	43.50000000	mua	0.47463936	944	1382.50000000	0.54004766		505	0
70	6.60000000	0.00000000	good	0.29807392	801	1382.50000000	1.10683036	good	1035	0
71	4.50000000	0.00000000	good	0.16792566	867	787.50000000	1.28007337	good	1197	0
72	11.60000000	0.00000000	good	0.42042184	961	1505.00000000	0.33258381	good	311	0
73	4.60000000	0.00000000	mua	0.39511359	221	787.50000000	0.08982971		84	0
74	2.70000000	0.00000000	good	0.24339913	415	735.00000000	0.52079844	good	487	0
75	6.40000000	0.00000000	good	0.33383852	489	1242.50000000	1.33675164	good	1250	0
76	14.80000000	0.00000000	good	0.41563031	851	752.50000000	0.82878602	good	775	0
77	9.00000000	0.00000000	good	0.56960285	640	1925.00000000	1.09292814	good	1022	0
78	6.60000000	0.00000000	good	0.43190169	754	1400.00000000	0.56250509	good	526	0
79	5.10000000	0.00000000	good	0.48874351	917	1400.00000000	0.81274500		760	0
80	6.10000000	0.00000000	mua	0.49199635	917	1400.00000000	0.02245743		21	0
81	3.50000000	100.00000000	mua	0.29739177	415	735.00000000	0.04170665		39	0
82	3.70000000	100.00000000	mua	0.31563699	415	735.00000000	0.05667827		53	0
83	4.20000000	0.00000000	good	0.22418454	908	1487.50000000	1.08437293	good	1014	0
84	4.30000000	22.20000000	mua	0.26415879	540	717.50000000	0.72505409	good	678	0
85	3.10000000	0.00000000	good	0.29024544	540	717.50000000	0.33793081	good	316	0
86	3.10000000	0.00000000	mua	0.26639956	540	717.50000000	0.05988647		56	0
